date,sales
2018-01-31,1224
2018-02-28,1267
2018-03-31,1453
2018-04-30,1572
2018-05-31,1227
2018-06-30,1105
2018-07-31,1255
2018-08-31,1052
2018-09-30,854
2018-10-31,1075
2018-11-30,1062
2018-12-31,1239
2019-01-31,1524
2019-02-28,1339
2019-03-31,1435
2019-04-30,1597
2019-05-31,1448
2019-06-30,1526
2019-07-31,1220
2019-08-31,1063
2019-09-30,1483
2019-10-31,1297
2019-11-30,1479
2019-12-31,1434
2020-01-31,1744
2020-02-29,1980
2020-03-31,1859
2020-04-30,2076
2020-05-31,1848
2020-06-30,1773
2020-07-31,1604
2020-08-31,1891
2020-09-30,1599
2020-10-31,1511
2020-11-30,1931
2020-12-31,1802
2021-01-31,2195
2021-02-28,2008
2021-03-31,2171
2021-04-30,2387
2021-05-31,2387
2021-06-30,2180
2021-07-31,2015
2021-08-31,1906
2021-09-30,1717
2021-10-31,1899
2021-11-30,2076
2021-12-31,2482
2022-01-31,2553
2022-02-28,2375
2022-03-31,2757
2022-04-30,2638
2022-05-31,2513
2022-06-30,2584
2022-07-31,2525
2022-08-31,2429
2022-09-30,2151
2022-10-31,2299
2022-11-30,2533
2022-12-31,2808
2023-01-31,2768
2023-02-28,2950
2023-03-31,2880
2023-04-30,2855
2023-05-31,3074
2023-06-30,3034
2023-07-31,2698
2023-08-31,2778
2023-09-30,2669
2023-10-31,2587
2023-11-30,2876
2023-12-31,3230
